"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4720","should display error message for invalid credentials","chromium","2026-03-24","passed","2026-03-24","Login functionality tests","1.spec.ts","",""
"","5774","should display error message for invalid credentials","firefox","2026-03-24","passed","2026-03-24","Login functionality tests","1.spec.ts","",""
